baseline_commit,container,stable_locator,surface,token,classification,disposition,new_value,context_sha256
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L13#token-1,repository-text,R-06,historical-provenance,update-current-state-documentation,post-state wording,418c6e25ef27a938413976e66fc721c1043fe9b84d3fcda6b6b344b7c0083a8c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L13#token-2,repository-text,R-07,historical-provenance,update-current-state-documentation,post-state wording,418c6e25ef27a938413976e66fc721c1043fe9b84d3fcda6b6b344b7c0083a8c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L13#token-3,repository-text,R-10,historical-provenance,update-current-state-documentation,post-state wording,418c6e25ef27a938413976e66fc721c1043fe9b84d3fcda6b6b344b7c0083a8c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L43#token-1,repository-text,R-06,competing-hypotheses,update-current-state-documentation,post-state wording,fea48fdee0787d9649996ed9da2fdc03e78cb2cc5ad2e9a4f6c938085198cd0c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L43#token-2,repository-text,R-07,competing-hypotheses,update-current-state-documentation,post-state wording,fea48fdee0787d9649996ed9da2fdc03e78cb2cc5ad2e9a4f6c938085198cd0c
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L44#token-1,repository-text,R-07,source-of-truth,update-current-state-documentation,post-state wording,e48b354770f1f0adb88a3ac8744c94264cdc5dc1b75bb785114c763bef20d4e0
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L44#token-2,repository-text,R-10,source-of-truth,update-current-state-documentation,post-state wording,e48b354770f1f0adb88a3ac8744c94264cdc5dc1b75bb785114c763bef20d4e0
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,CHANGELOG.md,CHANGELOG.md:L45#token-1,repository-text,R-10,historical-provenance,update-current-state-documentation,post-state wording,ef4c153eaabc72194c36fb97f88d564b28ba095e296ae3d120b3d1202673043f
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L21#token-1,repository-text,R-06,source-of-truth,update-current-state-documentation,post-state wording,fd1156196522c884f151d23668fa8c6e9d6f0f818ebd13b5728aa6e283c056c1
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L21#token-2,repository-text,R-07,source-of-truth,update-current-state-documentation,post-state wording,472989f33dba9de2e28778656dadf4556849fd7d11f2257467ac455ed9b13f21
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L21#token-3,repository-text,R-07,source-of-truth,update-current-state-documentation,post-state wording,129ef61f1c77eb1207d398b1b1d7793921d7c0c32bcbce7799d72d2ce881c00e
410e8b46e8f50b9dbfc8d2c37358818722c9b9c2,README.md,README.md:L21#token-4,repository-text,R-10,source-of-truth,update-current-state-documentation,post-state wording,660e03aa1e8a658e890b303a8d78634f4a40c282ac45e6bd8e0d311b4b955249
